Id,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtQual,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,FireplaceQu,Fireplaces,Foundation,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotalBsmtSF,WoodDeckSF,YearBuilt_age,NonKitchenBedroomAbvGr,BathRooms
1,0,3,1Fam,5,1,6,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,0,0,PConc,548,2,5,2,5,Attchd,1710,GasA,9,2Story,1,7,Lvl,Gtl,8450,Inside,Reg,0,60,RL,196,BrkFace,2,CollgCr,61,5,7,Y,0,CompShg,Gable,Normal,208500,WD,0,856,0,15,4,4
2,0,3,1Fam,5,4,5,1,7,Y,Feedr,SBrkr,0,5,5,MetalSd,5,1,CBlock,460,2,5,2,5,Attchd,1262,GasA,9,1Story,1,5,Lvl,Gtl,9600,FR2,Reg,0,20,RL,0,None,5,Veenker,0,8,6,Y,0,CompShg,Gable,Normal,181500,WD,0,1262,298,42,2,3
3,0,3,1Fam,5,2,6,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,5,1,PConc,608,2,5,2,5,Attchd,1786,GasA,9,2Story,1,7,Lvl,Gtl,11250,Inside,IR1,0,60,RL,162,BrkFace,9,CollgCr,42,5,7,Y,0,CompShg,Gable,Normal,223500,WD,0,920,0,17,2,4
4,0,3,1Fam,7,1,5,1,5,Y,Norm,SBrkr,272,5,5,Wd Sdng,7,1,BrkTil,642,3,5,1,5,Detchd,1717,GasA,7,2Story,1,7,Lvl,Gtl,9550,Corner,IR1,0,70,RL,0,None,2,Crawfor,35,5,7,Y,0,CompShg,Gable,Abnorml,140000,WD,0,756,0,103,3,2
5,0,4,1Fam,5,3,6,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,5,1,PConc,836,3,5,2,5,Attchd,2198,GasA,9,2Story,1,7,Lvl,Gtl,14260,FR2,IR1,0,60,RL,350,BrkFace,12,NoRidge,84,5,8,Y,0,CompShg,Gable,Normal,250000,WD,0,1145,192,18,4,4
6,320,1,1Fam,5,1,6,1,7,Y,Norm,SBrkr,0,5,5,VinylSd,0,0,Wood,480,2,5,1,5,Attchd,1362,GasA,9,1.5Fin,1,5,Lvl,Gtl,14115,Inside,IR1,0,50,RL,0,None,10,Mitchel,30,5,5,Y,0,CompShg,Gable,Normal,143000,WD,0,796,40,25,3,3
7,0,3,1Fam,5,3,6,1,9,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,636,2,5,2,5,Attchd,1694,GasA,9,1Story,1,7,Lvl,Gtl,10084,Inside,Reg,0,20,RL,186,Stone,8,Somerst,57,5,8,Y,0,CompShg,Gable,Normal,307000,WD,0,1686,255,14,3,3
8,0,3,1Fam,5,2,5,4,7,Y,PosN,SBrkr,228,5,5,HdBoard,5,2,CBlock,484,2,5,2,5,Attchd,2090,GasA,9,2Story,1,5,Lvl,Gtl,10382,Corner,IR1,0,60,RL,240,Stone,11,NWAmes,204,6,7,Y,0,CompShg,Gable,Normal,200000,WD,0,1107,235,45,3,4
9,0,2,1Fam,5,1,1,1,5,Y,Artery,FuseF,205,5,5,BrkFace,5,2,BrkTil,468,2,5,1,3,Detchd,1774,GasA,7,1.5Fin,2,5,Lvl,Gtl,6120,Inside,Reg,0,50,RM,0,None,4,OldTown,0,5,7,Y,0,CompShg,Gable,Abnorml,129900,WD,0,952,90,87,4,2
10,0,2,2fmCon,5,1,6,1,5,Y,Artery,SBrkr,0,5,5,MetalSd,5,2,BrkTil,205,1,5,2,7,Attchd,1077,GasA,9,1.5Unf,2,5,Lvl,Gtl,7420,Corner,Reg,0,190,RL,0,None,1,BrkSide,4,6,5,Y,0,CompShg,Gable,Normal,118000,WD,0,991,0,79,1,2
11,0,3,1Fam,5,1,3,1,5,Y,Norm,SBrkr,0,5,5,HdBoard,0,0,CBlock,384,1,5,1,5,Detchd,1040,GasA,9,1Story,1,5,Lvl,Gtl,11200,Inside,Reg,0,20,RL,0,None,2,Sawyer,0,5,5,Y,0,CompShg,Hip,Normal,129500,WD,0,1040,0,53,1,2
12,0,4,1Fam,5,1,6,1,9,Y,Norm,SBrkr,0,5,9,WdShing,7,2,PConc,736,3,5,3,5,BuiltIn,2324,GasA,9,2Story,1,9,Lvl,Gtl,11924,Inside,IR1,0,60,RL,286,Stone,7,NridgHt,21,5,9,Y,0,CompShg,Hip,Partial,345000,New,0,1175,147,13,6,4
13,0,2,1Fam,5,1,5,1,5,Y,Norm,SBrkr,0,5,5,HdBoard,0,0,CBlock,352,1,5,1,5,Detchd,912,GasA,5,1Story,1,5,Lvl,Gtl,12968,Inside,IR2,0,20,RL,0,None,9,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,144000,WD,176,912,140,56,1,2
14,0,3,1Fam,5,3,1,1,7,Y,Norm,SBrkr,0,5,7,VinylSd,7,1,PConc,840,3,5,2,5,Attchd,1494,GasA,9,1Story,1,7,Lvl,Gtl,10652,Inside,IR1,0,20,RL,306,Stone,8,CollgCr,33,5,7,Y,0,CompShg,Gable,Partial,279500,New,0,1494,160,12,3,2
15,0,2,1Fam,5,1,4,1,5,Y,Norm,SBrkr,176,5,5,MetalSd,3,1,CBlock,352,1,5,2,5,Attchd,1253,GasA,5,1Story,1,5,Lvl,Gtl,10920,Corner,IR1,0,20,RL,212,BrkFace,5,NAmes,213,5,6,Y,0,CompShg,Hip,Normal,157000,WD,0,1253,0,58,2,3
16,0,2,1Fam,5,1,1,1,5,Y,Norm,FuseA,0,5,5,Wd Sdng,0,0,BrkTil,576,2,5,1,5,Detchd,854,GasA,9,1.5Unf,1,5,Lvl,Gtl,6120,Corner,Reg,0,45,RM,0,None,7,BrkSide,112,8,7,Y,0,CompShg,Gable,Normal,132000,WD,0,832,48,89,2,1
17,0,2,1Fam,5,1,5,1,5,Y,Norm,SBrkr,0,5,5,Wd Sdng,5,1,CBlock,480,2,5,3,5,Attchd,1004,GasA,9,1Story,1,5,Lvl,Gtl,11241,CulDSac,IR1,0,20,RL,180,BrkFace,3,NAmes,0,7,6,Y,0,CompShg,Gable,Normal,149000,WD,0,1004,0,48,2,2
18,0,2,Duplex,0,0,0,0,0,Y,Norm,SBrkr,0,5,5,MetalSd,0,0,Slab,516,2,5,1,5,CarPort,1296,GasA,5,1Story,2,5,Lvl,Gtl,10791,Inside,Reg,0,90,RL,0,None,10,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,90000,WD,0,0,0,51,2,2
19,0,3,1Fam,5,1,6,1,5,Y,RRAe,SBrkr,0,5,5,VinylSd,0,0,PConc,576,2,5,1,5,Detchd,1114,GasA,9,1Story,1,7,Lvl,Gtl,13695,Inside,Reg,0,20,RL,0,None,6,SawyerW,102,5,5,Y,0,CompShg,Gable,Normal,159000,WD,0,1114,0,14,2,3
20,0,3,1Fam,5,1,2,1,5,Y,Norm,SBrkr,0,5,5,BrkFace,0,0,CBlock,294,1,5,1,5,Attchd,1339,GasA,5,1Story,1,5,Lvl,Gtl,7560,Inside,Reg,0,20,RL,0,None,5,NAmes,0,6,5,Y,0,CompShg,Hip,Abnorml,139000,COD,0,1029,0,60,2,1
