"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MiscVal","MoSold","YrSold","SalePrice"
"1",1,60,2,65,8450,1,2,3,3,2,3,2,2,2,4,7,5,2003,2003,3,3,4,5,4,4,3,2,6,706,1,0,150,856,2,5,5,856,854,0,1710,0,2,1,3,1,4,8,3,0,5,2003,2,2,548,3,3,2,0,61,0,0,0,0,1,1,0,1,2008,208500
"2",2,20,2,80,9600,1,2,3,1,2,3,1,2,2,1,6,8,1976,1976,2,2,1,4,4,4,3,5,5,978,1,0,284,1262,2,5,5,1262,0,0,1262,1,2,0,3,1,3,6,3,1,5,1976,2,2,460,3,3,2,298,0,0,0,0,0,1,1,0,1,2007,181500
"3",3,60,2,68,11250,1,2,3,3,2,3,2,2,2,4,7,5,2001,2002,3,3,4,5,4,4,3,3,6,486,1,0,434,920,2,5,5,920,866,0,1786,0,2,1,3,1,4,6,3,1,5,2001,2,2,608,3,3,2,0,42,0,0,0,0,1,1,0,1,2008,223500
"4",4,70,2,60,9550,1,2,3,2,2,3,2,2,2,4,7,5,1915,1970,2,2,1,4,4,3,4,2,5,216,1,0,540,756,2,4,5,961,756,0,1717,0,1,0,3,1,4,7,3,1,3,1998,1,3,642,3,3,2,0,35,272,0,0,0,1,1,0,1,2006,140000
"5",5,60,2,84,14260,1,2,3,1,2,3,2,2,2,4,8,5,2000,2000,3,3,4,5,4,4,3,4,6,655,1,0,490,1145,2,5,5,1145,1053,0,2198,0,2,1,4,1,4,9,3,1,5,2000,2,3,836,3,3,2,192,84,0,0,0,0,1,1,0,1,2008,250000
"6",6,50,2,85,14115,1,2,3,3,2,3,2,2,2,3,5,5,1993,1995,3,3,1,4,4,4,3,2,6,732,1,0,64,796,2,5,5,796,566,0,1362,0,1,1,1,1,3,5,3,0,5,1993,1,2,480,3,3,2,40,30,0,320,0,0,1,1,700,1,2009,143000
"7",7,20,2,75,10084,1,2,3,3,2,3,2,2,2,1,8,5,2004,2005,3,3,4,5,4,5,3,4,6,1369,1,0,317,1686,2,5,5,1694,0,0,1694,0,2,0,3,1,4,7,3,1,5,2004,2,2,636,3,3,2,255,57,0,0,0,0,1,1,0,1,2007,307000
"8",8,60,2,56,10382,1,2,3,2,2,3,3,2,2,4,7,6,1973,1973,2,2,4,4,4,4,3,3,5,859,3,32,216,1107,2,5,5,1107,983,0,2090,0,2,1,3,1,3,7,3,2,5,1973,2,2,484,3,3,2,235,204,228,0,0,0,1,1,350,1,2009,200000
"9",9,50,3,51,6120,1,2,3,3,2,3,1,2,2,3,7,5,1931,1950,5,2,1,4,4,3,3,2,1,0,1,0,952,952,2,4,5,1022,752,0,1774,0,2,0,2,2,3,8,2,2,3,1931,1,2,468,2,3,2,90,0,205,0,0,0,1,1,0,1,2008,129900
"10",10,190,2,50,7420,1,2,3,2,2,3,1,1,1,2,5,6,1939,1950,2,2,1,4,4,3,3,2,6,851,1,0,140,991,2,5,5,1077,0,0,1077,0,1,0,2,2,3,5,3,2,5,1939,2,1,205,4,3,2,0,4,0,0,0,0,1,1,0,1,2008,118000
